Key Concept,Instructions,Extensive Evidence,Convincing Evidence,Limited Evidence,No Evidence
Modularity - Multiple Sprites,(1) list the name of each sprite created. (2) list the sprite name and property name for every sprite property that is updated inside the draw loop (e.g. `mySprite.myProperty`).,"At least 3 sprites created, each with at least one property updating in the draw loop. ",At least 1 sprite created with at least one property updated inside the draw loop.,At least 1 sprite created. No properties updated inside the draw loop.,No sprites are used in the program.
Algorithms and Control - User Input,"(1) list every instance where the program checks for user input, e.g. `keyDown(\"left\")` or mouseDown('rightButton'). (2) for each instance of user input, describe how the program responds to the input.",Your program responds to at least 2 different types of user input.,Your program responds to 1 type of user input.,"Your program contains code, such as keyDown(), for user input but it is not used correctly and the program does not respond.",Your program does not have user input.
Algorithms and Control - Conditionals,(1) list each conditional inside the draw loop. (2) which conditionals respond to user input? (3) which conditionals are predicated on a variable or sprite property?,Your program uses at least 3 conditionals inside the draw loop - 1 (or more) responds to user input and 1 (or more) is triggered by a variable or sprite property.,Your program uses at least 2 conditionals inside the draw loop - 1 that responds to user input and 1 that is triggered by a variable or sprite property.,Your program either has conditionals that all respond to user input (or all using sprite properties/variables) or only has 1 conditional inside the draw loop.,Your program does not use any conditionals.
Position and Movement,(1) list all sprites placed on the screen. (2) list all other elements placed on the screen. (3) describe the movement of each sprite and other elements placed on the screen.,"At least 3 sprites and at least 2 other elements are placed on the screen using the coordinate system, and move in different ways.",At least 2 sprites and 1 other element is placed on the screen using the coordinate system and move during the program.,At least one element is placed on the screen using the coordinate system.,No elements (sprites or shapes) are placed on the screen using the coordinate system.
